id;time;image;response;session;delay
1;2020-01-30 15:54:46;no_vae_0.png;1;e23ad3d4d91fff693f07b53584a093d3;00:00:03
2;2020-01-30 15:54:51;no_vae_2.png;1;e23ad3d4d91fff693f07b53584a093d3;00:00:05
3;2020-01-30 15:54:52;style_0.jpg;0;e23ad3d4d91fff693f07b53584a093d3;00:00:01
4;2020-01-30 15:54:54;no_vae_4.png;1;e23ad3d4d91fff693f07b53584a093d3;00:00:02
5;2020-01-30 15:54:57;style_3.jpg;0;e23ad3d4d91fff693f07b53584a093d3;00:00:03
6;2020-01-30 15:54:59;vae_3.png;0;e23ad3d4d91fff693f07b53584a093d3;00:00:02
7;2020-01-30 15:55:02;vae_1.png;1;e23ad3d4d91fff693f07b53584a093d3;00:00:03
8;2020-01-30 15:55:06;no_vae_3.png;1;e23ad3d4d91fff693f07b53584a093d3;00:00:04
9;2020-01-30 15:55:08;style_4.jpg;1;e23ad3d4d91fff693f07b53584a093d3;00:00:02
10;2020-01-30 15:55:10;vae_0.png;1;e23ad3d4d91fff693f07b53584a093d3;00:00:02
11;2020-01-30 15:55:12;style_1.jpg;1;e23ad3d4d91fff693f07b53584a093d3;00:00:02
12;2020-01-30 15:55:30;vae_4.png;1;e23ad3d4d91fff693f07b53584a093d3;00:00:02
13;2020-01-30 15:55:33;vae_2.png;1;e23ad3d4d91fff693f07b53584a093d3;00:00:03
14;2020-01-30 18:25:08;no_vae_2.png;0;c8f59009e4ba7fddc58796c33b0f69e2;00:00:18
15;2020-01-30 18:25:12;no_vae_4.png;1;c8f59009e4ba7fddc58796c33b0f69e2;00:00:04
16;2020-01-30 18:25:15;style_0.jpg;0;c8f59009e4ba7fddc58796c33b0f69e2;00:00:03
17;2020-01-30 18:25:17;vae_0.png;1;c8f59009e4ba7fddc58796c33b0f69e2;00:00:02
18;2020-01-30 18:25:19;vae_2.png;1;c8f59009e4ba7fddc58796c33b0f69e2;00:00:02
19;2020-01-30 18:25:21;vae_4.png;1;c8f59009e4ba7fddc58796c33b0f69e2;00:00:02
20;2020-01-30 18:25:24;no_vae_0.png;0;c8f59009e4ba7fddc58796c33b0f69e2;00:00:03
21;2020-01-30 18:25:26;style_4.jpg;1;c8f59009e4ba7fddc58796c33b0f69e2;00:00:02
22;2020-01-30 18:25:28;no_vae_1.png;0;c8f59009e4ba7fddc58796c33b0f69e2;00:00:02
23;2020-01-30 18:25:30;vae_3.png;0;c8f59009e4ba7fddc58796c33b0f69e2;00:00:02
24;2020-01-30 18:25:32;style_1.jpg;1;c8f59009e4ba7fddc58796c33b0f69e2;00:00:02
25;2020-01-30 18:25:34;style_3.jpg;0;c8f59009e4ba7fddc58796c33b0f69e2;00:00:02
26;2020-01-30 18:25:36;style_2.jpg;0;c8f59009e4ba7fddc58796c33b0f69e2;00:00:02
27;2020-01-30 18:25:40;no_vae_3.png;1;c8f59009e4ba7fddc58796c33b0f69e2;00:00:04
28;2020-01-30 18:25:41;vae_1.png;0;c8f59009e4ba7fddc58796c33b0f69e2;00:00:01
29;2020-01-30 18:25:54;no_vae_0.png;1;833ac87c5ac3787114243899584fc062;00:00:03
30;2020-01-30 18:25:56;no_vae_3.png;1;833ac87c5ac3787114243899584fc062;00:00:02
31;2020-01-30 18:25:59;no_vae_4.png;0;833ac87c5ac3787114243899584fc062;00:00:03
32;2020-01-30 18:26:01;vae_0.png;0;833ac87c5ac3787114243899584fc062;00:00:02
33;2020-01-30 18:26:05;vae_3.png;0;833ac87c5ac3787114243899584fc062;00:00:04
34;2020-01-30 18:26:10;style_1.jpg;0;833ac87c5ac3787114243899584fc062;00:00:05
35;2020-01-30 18:26:24;vae_1.png;0;833ac87c5ac3787114243899584fc062;00:00:04
36;2020-01-30 18:26:27;style_3.jpg;1;833ac87c5ac3787114243899584fc062;00:00:03
37;2020-01-30 18:26:31;vae_2.png;1;833ac87c5ac3787114243899584fc062;00:00:04
38;2020-01-30 18:26:34;no_vae_2.png;0;833ac87c5ac3787114243899584fc062;00:00:03
39;2020-01-30 18:26:35;style_2.jpg;0;833ac87c5ac3787114243899584fc062;00:00:01
40;2020-01-30 18:26:38;style_0.jpg;0;833ac87c5ac3787114243899584fc062;00:00:03
41;2020-01-30 18:26:41;style_4.jpg;1;833ac87c5ac3787114243899584fc062;00:00:02
42;2020-01-30 18:26:43;no_vae_1.png;1;833ac87c5ac3787114243899584fc062;00:00:02
43;2020-01-30 18:26:59;no_vae_3.png;1;e3f1d64c3b5505199ecd174f9af963ac;00:00:05
44;2020-01-30 18:27:04;style_2.jpg;0;e3f1d64c3b5505199ecd174f9af963ac;00:00:05
45;2020-01-30 18:27:08;style_3.jpg;1;e3f1d64c3b5505199ecd174f9af963ac;00:00:04
46;2020-01-30 18:27:13;style_4.jpg;0;e3f1d64c3b5505199ecd174f9af963ac;00:00:05
47;2020-01-30 18:27:16;vae_1.png;0;e3f1d64c3b5505199ecd174f9af963ac;00:00:03
48;2020-01-30 18:27:21;vae_3.png;0;e3f1d64c3b5505199ecd174f9af963ac;00:00:05
49;2020-01-30 18:27:25;no_vae_0.png;1;e3f1d64c3b5505199ecd174f9af963ac;00:00:04
50;2020-01-30 18:27:27;no_vae_2.png;1;e3f1d64c3b5505199ecd174f9af963ac;00:00:02
51;2020-01-30 18:27:29;style_0.jpg;1;e3f1d64c3b5505199ecd174f9af963ac;00:00:02
52;2020-01-30 18:27:32;vae_0.png;1;e3f1d64c3b5505199ecd174f9af963ac;00:00:03
53;2020-01-30 18:27:36;vae_4.png;0;e3f1d64c3b5505199ecd174f9af963ac;00:00:04
54;2020-01-30 18:27:38;no_vae_4.png;0;e3f1d64c3b5505199ecd174f9af963ac;00:00:02
55;2020-01-30 18:27:42;style_1.jpg;1;e3f1d64c3b5505199ecd174f9af963ac;00:00:04
56;2020-01-30 18:27:45;vae_2.png;0;e3f1d64c3b5505199ecd174f9af963ac;00:00:03
57;2020-01-30 18:27:48;no_vae_1.png;1;e3f1d64c3b5505199ecd174f9af963ac;00:00:03
58;2020-01-30 18:30:08;no_vae_0.png;0;e1c6ddb4f2ae3d1e04d05cae014350c5;00:00:05
59;2020-01-30 18:30:13;no_vae_2.png;1;e1c6ddb4f2ae3d1e04d05cae014350c5;00:00:05
60;2020-01-30 18:30:15;no_vae_4.png;0;e1c6ddb4f2ae3d1e04d05cae014350c5;00:00:02
61;2020-01-30 18:30:17;vae_1.png;0;e1c6ddb4f2ae3d1e04d05cae014350c5;00:00:02
62;2020-01-30 18:30:19;vae_2.png;1;e1c6ddb4f2ae3d1e04d05cae014350c5;00:00:02
63;2020-01-30 18:30:22;style_2.jpg;0;e1c6ddb4f2ae3d1e04d05cae014350c5;00:00:03
64;2020-01-30 18:30:24;style_4.jpg;1;e1c6ddb4f2ae3d1e04d05cae014350c5;00:00:02
65;2020-01-30 18:30:26;vae_4.png;1;e1c6ddb4f2ae3d1e04d05cae014350c5;00:00:02
66;2020-01-30 18:30:28;style_0.jpg;0;e1c6ddb4f2ae3d1e04d05cae014350c5;00:00:02
67;2020-01-30 18:30:29;vae_0.png;0;e1c6ddb4f2ae3d1e04d05cae014350c5;00:00:01
68;2020-01-30 18:30:31;vae_3.png;0;e1c6ddb4f2ae3d1e04d05cae014350c5;00:00:02
69;2020-01-30 18:30:33;no_vae_2.png;1;f6a160838c61fe2f31d502656a5393ba;00:00:06
70;2020-01-30 18:30:33;style_3.jpg;1;e1c6ddb4f2ae3d1e04d05cae014350c5;00:00:02
71;2020-01-30 18:30:36;no_vae_3.png;1;e1c6ddb4f2ae3d1e04d05cae014350c5;00:00:03
72;2020-01-30 18:30:37;no_vae_4.png;0;f6a160838c61fe2f31d502656a5393ba;00:00:04
73;2020-01-30 18:30:38;no_vae_1.png;1;e1c6ddb4f2ae3d1e04d05cae014350c5;00:00:02
74;2020-01-30 18:30:40;style_1.jpg;1;e1c6ddb4f2ae3d1e04d05cae014350c5;00:00:02
75;2020-01-30 18:30:40;style_3.jpg;1;f6a160838c61fe2f31d502656a5393ba;00:00:03
76;2020-01-30 18:30:44;style_4.jpg;1;f6a160838c61fe2f31d502656a5393ba;00:00:04
77;2020-01-30 18:30:47;vae_3.png;0;f6a160838c61fe2f31d502656a5393ba;00:00:03
78;2020-01-30 18:30:50;vae_2.png;1;f6a160838c61fe2f31d502656a5393ba;00:00:03
